pair | chromium t/r | master_h14 own / vs-chr | feblend17 own / vs-chr | mixblend12 own / vs-chr
blend-clip-path-gradient-difference | 0.00 | 0.00 / 0.25 | 0.00 / 0.25 | 0.00 / 0.25
blend-clip-path-nested-overlay | 0.00 | 0.00 / 0.16 | 0.00 / 0.16 | 0.00 / 0.16
blend-gradient-alpha-screen | 0.00 | 0.00 / 0.00 | 0.00 / 0.00 | 0.00 / 0.00
blend-group-opacity-gradient | 0.00 | 0.00 / 0.00 | 0.00 / 0.00 | 0.00 / 0.00
blend-radial-gradient-multiply | 0.00 | 0.00 / 0.00 | 0.00 / 0.00 | 0.00 / 0.00
blend-scissor-rect-clip | 0.00 | 25.00 / 25.00 | 25.00 / 25.00 | 0.00 / 0.00
feblend-colorspace-linearrgb-multiply | 0.31 | 64.13 / 64.13 | 0.31 / 0.00 | 0.31 / 0.00
feblend-colorspace-linearrgb-screen | 0.31 | 64.13 / 64.13 | 0.31 / 0.00 | 0.31 / 0.00
feblend-colorspace-srgb-multiply | 0.31 | 64.13 / 64.13 | 0.31 / 0.00 | 0.31 / 0.00
feblend-mode-color | 0.31 | 64.13 / 64.13 | 0.31 / 0.00 | 0.31 / 0.00
feblend-mode-color-burn | 0.31 | 64.13 / 64.13 | 0.31 / 0.00 | 0.31 / 0.00
feblend-mode-color-dodge | 0.31 | 64.13 / 64.13 | 0.31 / 0.00 | 0.31 / 0.00
feblend-mode-darken | 0.31 | 0.00 / 0.31 | 0.31 / 0.00 | 0.31 / 0.00
feblend-mode-difference | 0.31 | 64.13 / 64.13 | 0.31 / 0.00 | 0.31 / 0.00
feblend-mode-exclusion | 0.31 | 64.13 / 64.13 | 0.31 / 0.00 | 0.31 / 0.00
feblend-mode-hard-light | 0.31 | 64.13 / 64.13 | 0.31 / 0.00 | 0.31 / 0.00
feblend-mode-hue | 0.31 | 64.13 / 64.13 | 0.31 / 0.00 | 0.31 / 0.00
feblend-mode-lighten | 0.31 | 64.13 / 64.13 | 0.31 / 0.00 | 0.31 / 0.00
feblend-mode-luminosity | 0.31 | 64.13 / 64.13 | 0.31 / 0.00 | 0.31 / 0.00
feblend-mode-multiply | 0.31 | 64.13 / 64.13 | 0.31 / 0.00 | 0.31 / 0.00
feblend-mode-normal | 0.31 | 64.13 / 64.13 | 0.31 / 0.00 | 0.31 / 0.00
feblend-mode-overlay | 0.31 | 64.13 / 64.13 | 0.31 / 0.00 | 0.31 / 0.00
feblend-mode-saturation | 0.31 | 64.13 / 64.13 | 0.31 / 0.00 | 0.31 / 0.00
feblend-mode-screen | 0.31 | 64.13 / 64.13 | 0.31 / 0.00 | 0.31 / 0.00
feblend-mode-soft-light | 0.31 | 64.13 / 64.13 | 0.31 / 0.00 | 0.31 / 0.00
feblend-subregion-input1 | 0.00 | 25.00 / 25.00 | 0.00 / 0.00 | 0.00 / 0.00
feblend-subregion-input2 | 0.00 | 25.00 / 25.00 | 0.00 / 0.00 | 0.00 / 0.00
filter-chain-blur-feblend-sourcealpha | 0.31 | 64.13 / 64.13 | 64.13 / 64.13 | 64.13 / 64.13
filter-chain-colormatrix-feblend-screen | 0.31 | 64.13 / 64.13 | 64.13 / 64.13 | 64.13 / 64.13
filter-chain-colorspace-transition | 0.31 | 64.13 / 64.13 | 0.31 / 0.00 | 0.31 / 0.00
filter-chain-double-feblend | 0.00 | 0.00 / 0.00 | 0.00 / 0.00 | 0.00 / 0.00
filter-chain-offset-blur-feblend | 0.31 | 64.13 / 64.13 | 64.13 / 64.13 | 64.13 / 64.13
filter-layer-mix-blend-filtered | 0.31 | 64.13 / 64.13 | 64.13 / 64.13 | 0.31 / 0.00
filter-subregion-chain-feblend | 0.47 | 64.13 / 64.13 | 64.13 / 64.13 | 64.13 / 64.13
gradient-colorspace-linearrgb-blend | 0.00 | 0.00 / 63.68 | 0.00 / 63.68 | 0.00 / 63.68
gradient-colorspace-srgb-blend | 0.00 | 0.00 / 0.00 | 0.00 / 0.00 | 0.00 / 0.00
mix-blend-color | 0.12 | 36.07 / 36.07 | 36.07 / 36.07 | 0.12 / 0.00
mix-blend-color-burn | 0.12 | 36.07 / 36.07 | 36.07 / 36.07 | 0.12 / 0.00
mix-blend-color-dodge | 0.12 | 36.07 / 36.07 | 36.07 / 36.07 | 0.12 / 0.00
mix-blend-darken | 0.12 | 36.07 / 36.07 | 36.07 / 36.07 | 0.12 / 0.00
mix-blend-difference | 0.12 | 36.07 / 36.07 | 36.07 / 36.07 | 0.12 / 0.00
mix-blend-exclusion | 0.12 | 36.07 / 36.07 | 36.07 / 36.07 | 0.12 / 0.00
mix-blend-hard-light | 0.12 | 36.07 / 36.07 | 36.07 / 36.07 | 0.12 / 0.00
mix-blend-hue | 0.12 | 36.07 / 36.07 | 36.07 / 36.07 | 0.12 / 0.00
mix-blend-lighten | 0.00 | 0.00 / 0.00 | 0.00 / 0.00 | 0.00 / 0.00
mix-blend-luminosity | 0.12 | 36.07 / 36.07 | 36.07 / 36.07 | 0.12 / 0.00
mix-blend-multiply | 0.12 | 36.07 / 36.07 | 36.07 / 36.07 | 0.12 / 0.00
mix-blend-normal | 0.00 | 0.00 / 0.00 | 0.00 / 0.00 | 0.00 / 0.00
mix-blend-overlay | 0.12 | 36.07 / 36.07 | 36.07 / 36.07 | 0.12 / 0.00
mix-blend-saturation | 0.12 | 36.07 / 36.07 | 36.07 / 36.07 | 0.12 / 0.00
mix-blend-screen | 0.12 | 36.07 / 36.07 | 36.07 / 36.07 | 0.12 / 0.00
mix-blend-soft-light | 0.12 | 36.07 / 36.07 | 36.07 / 36.07 | 0.12 / 0.00
