banner 1x: 270 px differ, max delta 1
with-subregion-on-input-2 4x: 119600 px differ, max delta 38
as-property 4x: 1 px differ, max delta 1
color-burn 4x: 1 px differ, max delta 1
color-dodge 4x: 1 px differ, max delta 1
color 4x: 1 px differ, max delta 1
darken 4x: 1 px differ, max delta 1
difference 4x: 1 px differ, max delta 1
exclusion 4x: 1 px differ, max delta 1
filter-multiple-primitives-4 1x: 32204 px differ, max delta 170
filter-multiple-primitives-4 2x: 93080 px differ, max delta 111
filter-multiple-primitives-4 4x: 119600 px differ, max delta 1
hard-light 4x: 1 px differ, max delta 1
hue 4x: 1 px differ, max delta 1
isolation-as-property 4x: 1 px differ, max delta 1
isolation-isolate 4x: 1 px differ, max delta 1
lighten 2x: 1 px differ, max delta 1
luminosity 4x: 1 px differ, max delta 1
multiply 4x: 1 px differ, max delta 1
normal 4x: 1 px differ, max delta 1
overlay 4x: 1 px differ, max delta 1
saturation 4x: 1 px differ, max delta 1
screen 2x: 1 px differ, max delta 1
soft-light 4x: 1 px differ, max delta 1
xor 4x: 1 px differ, max delta 1
feblend-after-blur 1x: 16152 px differ, max delta 182
feblend-after-blur 2x: 61096 px differ, max delta 187
feblend-after-blur 4x: 113360 px differ, max delta 125
feblend-in-clipped-layer 1x: 11296 px differ, max delta 66
feblend-in-clipped-layer 2x: 45180 px differ, max delta 66
feblend-in-clipped-layer 4x: 116560 px differ, max delta 66
423 frames, 151 differ
page_11_肖像_48949_icon_2 1x: 3 px differ, max delta 1
page_14_商务_48561_icon_44 1x: 1 px differ, max delta 1
page_350_AnimaUI_21749_icon_21 1x: 2 px differ, max delta 1
page_395_设计器图标_6517_icon_5 1x: 2 px differ, max delta 1
page_3_健身器材_50284_icon_19 1x: 2 px differ, max delta 1
page_413_圣诞节icon_2059_icon_43 1x: 4 px differ, max delta 1
page_68_家居家具_40497_icon_14 1x: 3 px differ, max delta 1
page_70_甜甜圈_40334_icon_4 1x: 9 px differ, max delta 1
page_78_功能图标_38559_icon_25 1x: 7 px differ, max delta 1
page_84_下午茶美食图标icon_37238_icon_32 1x: 15 px differ, max delta 1
100 frames, 10 differ
